Company or Institution Name,Compensation - Overtime Pay,[Optional] Briefly describe your position,Timestamp,Compensation - Most recent annual yearly raise (%),Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Company Detail - Approximate Company Size,Company Details - public/private/start-up/ subsidiary of ,Compensation - Annual Base Salary/Pay,Compensation - Sign on Bonus Value,What country do you work in?,Where is the closest major city or hub?,List other relevant and recognized certifications,[Optional] Company Review,Compensation - Annual Target Bonus ($),Biotech sub industry?,Role / Title of current position,Years of Experience,What degrees do you have?,What degrees do you have? ,Compensation - Stock Options,Survey Feedback,Compensation - Annual Equity/Stock Option,Compensation - Annual Equity,Compensation - Retirement Percent Match (free text),Highest achieved Formal Education,[OPTIONAL] Sign on - Relocation Assistance Total Value,Where are you located?,Compensation - Sign on Stock/Equity Options,"[Optional] Work Life Balance - On average, how many hours do you work per week",Year,Hub Mapped,Hub Count,Hub Rank
,,,2022-05-09,,,,200-1000,Public,115000.0,0,,Ohio,,,"17,000",Pharmaceutical (including “big pharma”),Scientist II,3,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-09,,,,5000+,Public,73100.0,0,,Los Angeles,,,5600,Pharmaceutical (including “big pharma”),Associate Validation Engineer ,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,Los Angeles,39,2412.0
,,,2022-05-09,,,,5000+,Public,87000.0,10000,,"Cambridge, MA",,,7%,Pharmaceutical (including “big pharma”),Research Scientist II,1,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-09,,,,1-50,Start-up,95000.0,0,,Pittsburgh,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research Scientist ,3,PhD or Equivalent,"","","","","","","","","","","",2022,Pittsburgh,3,2583.5
Sartorius,,,2022-05-09,,,,1000-5000,Public,107000.0,15000,,RDU,,,15000,Vendor,Field Application Specialist,8,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-09,,,,50-200,Start-up,100000.0,0,,Bay Area,,,Not Applicable/None,Agriculture/Food,Research Associate 2,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-09,,,,50-200,Private,90000.0,0,,Bay Area,,,16000,Pharmaceutical (including “big pharma”),Production Associate ,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-09,,,,1-50,Start-up,63840.0,0,,Colorado,,,Not Applicable/None,Academia/Research,Research Associate III,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-10,,,,50-200,Private,115000.0,0,,Bay Area,,,"17,250",Pharmaceutical (including “big pharma”),Senior Research Associate,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-10,,,,1-50,Private,50000.0,3000,,RTP NC,,,2500,Biotech,Research Associate ,1,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-10,,,,1-50,Subsidiary,65000.0,0,,"Sacramento, CA",,,Not Applicable/None,Medical Devices,Associate Scientist,1,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-10,,,,1-50,Start-up,85000.0,0,,"Durham, NC",,,8500,Agriculture/Food,Scientist,4,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Singular Genomics ,,,2022-05-10,,,,50-200,Public,115000.0,0,,"San Diego, CA",,,10000,Medical Devices,Systems Engineer ,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-10,,,,50-200,Start-up,131000.0,10000,,New York,,,10000,Pharmaceutical (including “big pharma”),Senior Scientist,6,PhD or Equivalent,"","","","","","","","","","","",2022,New York,48,2368.5
Janssen,,,2022-05-10,,,,5000+,Public,121000.0,0,,SoCal,,,14000,Pharmaceutical (including “big pharma”),Scientist,0,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-10,,,,50-200,Public,90000.0,2500,,Bay Area,,,9000,Pharmaceutical (including “big pharma”),Research Associate 2,3,Masters or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-10,,,,50-200,Start-up,90000.0,8500,,Boston,,,9000,Pharmaceutical (including “big pharma”),Sr. Research Associate,2,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
AbbVie,,,2022-05-10,,,,5000+,Public,63771.0,0,,Waco,,,10%,Pharmaceutical (including “big pharma”),Microbiology Lab Technician 4,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-10,,,,1-50,Private,130000.0,0,,Boston,,,13000,Pharmaceutical (including “big pharma”),Scientist II,3,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Gilead,,,2022-05-10,,,,5000+,Public,160000.0,0,,Bay Area,,,19200,Pharmaceutical (including “big pharma”),Clinical Trials Manager,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Dotmatics,,,2022-05-10,,,,200-1000,Private,152000.0,0,,Bay Area,,,15000,Biotech Software/SAAS,Product Manager,4,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
It is a CDMO,,,2022-05-11,,,,200-1000,Public,90000.0,0,,HOUSTON,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Scientist I,6,Masters or Equivalent,"","","","","","","","","","","",2022,Houston,14,2517.5
,,,2022-05-11,,,,50-200,Start-up,95000.0,0,,Seattle,,,10%,Pharmaceutical (including “big pharma”),Research Associate,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
,,,2022-05-11,,,,50-200,Public,80000.0,5000,,Boston,,,5500,Pharmaceutical (including “big pharma”),Associate Scientist ,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-11,,,,1-50,Start-up,220000.0,33000,,Bay Area,,,20%,Industrial biotech,Director,16,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-11,,,,1-50,Start-up,165000.0,10000,,Bay Area,,,Not Applicable/None,Industrial biotech,Principal Scientist ,16,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Benchsci,,,2022-05-11,,,,200-1000,Private,75000.0,0,,Toronto,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Science,5,PhD or Equivalent,"","","","","","","","","","","",2022,Toronto,16,2502.5
,,,2022-05-11,,,,5000+,Public,115000.0,0,,Boston,,,11000,Pharmaceutical (including “big pharma”),Sr. Scientist 1,7,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-11,,,,5000+,Public,150000.0,0,,Boston,,,30000,Pharmaceutical (including “big pharma”),Scientist II,3,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-11,,,,1000-5000,Public,180000.0,50000,,Boston,,,36000,Pharmaceutical (including “big pharma”),Principal scientist ,12,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Twist Bioscience,,,2022-05-12,,,,200-1000,Start-up,66000.0,2000,,San Francisco,,,Not Applicable/None,Medical Devices,Manufacturing Associate,0,Associate’s Degree or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-12,,,,50-200,Private,90500.0,3000,,Boston,,,2000,Gene Therapy,Senior Research Associate,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-12,,,,5000+,Private,80293.0,0,,Thousand Oaks,,,10% based on salary and review,Pharmaceutical (including “big pharma”),PD Senior Associate,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-12,,,,1-50,Start-up,150000.0,5000,,Bay Area,,,12000,Pharmaceutical (including “big pharma”),Scientist III,6,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Cambrex,,,2022-05-12,,,,200-1000,Private,79560.0,0,,RTP North Carolina,,,2,Pharmaceutical (including “big pharma”),Scientist 1,1,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-12,,,,200-1000,Public,52000.0,0,,"RTP/Raleigh, NC",,,8%,Pharmaceutical (including “big pharma”),Manufacturing Associate ,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Research Triangle,61,2258.0
GSK,,,2022-05-12,,,,5000+,Public,77500.0,0,,"Rockville, MD",,,6200,Pharmaceutical (including “big pharma”),Associate Scientist,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-13,,,,5000+,Public,115000.0,0,,San Diego,,,11500,Pharmaceutical (including “big pharma”),Sr. Associate II,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-13,,,,1000-5000,Public,155000.0,15000,,Bay Area,,,13500,Diagnostics ,Scientist II ,2,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-13,,,,200-1000,Private,74000.0,0,,"Halifax, Nova Scotia",,,Not Applicable/None,Pharmaceutical (including “big pharma”),Senior Analytical Chemist,9,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Tetracore,,,2022-05-13,,,,50-200,Private,78600.0,0,,Rockville,,,2000,Medical Devices,Mechanical Engineer,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-14,,,,50-200,Private,67000.0,0,,Bay Area,,,Not Applicable/None,Medical Devices,Research Associate 1,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-14,,,,5000+,Public,107000.0,0,,Boston,,,10700,Pharmaceutical (including “big pharma”),Scientist,5,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Sanofi,,,2022-05-14,,,,5000+,Private,85000.0,0,,Waltham,,,8500,Pharmaceutical (including “big pharma”),Sr. Research Associate,0,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-14,,,,200-1000,Public,200000.0,10000,,SF Bay Area,,,40000,Pharmaceutical (including “big pharma”),Associate Director,10,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-14,,,,1-50,Start-up,220000.0,15000,,San Diego,,,49500,Pharmaceutical (including “big pharma”),Director,10,PhD or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
Takeda,,,2022-05-15,,,,5000+,Public,62000.0,0,,Los Angeles,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Quality Analyst I,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,Los Angeles,39,2412.0
,,,2022-05-15,,,,50-200,Private,130000.0,0,,Boston,,,"13,000",Pharmaceutical (including “big pharma”),Scientist I,0,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-15,,,,50-200,Start-up,85000.0,0,,Bay area,,,Not Applicable/None,Academia/Research,Research Associate ,2,Masters or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-15,,,,50-200,Private,49000.0,0,,Philadelphia Metro Area,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research Associate I,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,Philadelphia,65,2195.0
,,,2022-05-16,,,,50-200,Start-up,130000.0,0,,Bay Area,,,Not Applicable/None,Medical Devices,Scientist,0,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-16,,,,5000+,Public,200000.0,0,,Switzerland,,,20%,Pharmaceutical (including “big pharma”),Director,5,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-16,,,,50-200,Private,50000.0,3000,,RTP,,,"varies >$2,000",Biotech,Research Associate I,1,Masters or Equivalent,"","","","","","","","","","","",2022,Research Triangle,61,2258.0
,,,2022-05-16,,,,50-200,Private,140000.0,0,,Boston,,,21000,Pharmaceutical (including “big pharma”),QC Sr Manager,11,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-16,,,,50-200,Public,130000.0,0,,Boston,,,24000,Pharmaceutical (including “big pharma”),Senior Manager,9,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-16,,,,50-200,Start-up,85000.0,0,,Philadelphia,,,8500,Pharmaceutical (including “big pharma”),Senior Associate Scientist ,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Philadelphia,65,2195.0
,,,2022-05-17,,,,200-1000,Public,145000.0,10000,,"Hayward, CA",,,14500,Pharmaceutical (including “big pharma”),Scientist,0,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-17,,,,1000-5000,Private,107000.0,0,,Phoenix,,,5300,Pharmaceutical (including “big pharma”),Associate Scientist II,0,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-17,,,,5000+,Private,120000.0,0,,"Ridgefield, CT",,,Not Applicable/None,Pharmaceutical (including “big pharma”),Sr. Scientist,3,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-17,,,,50-200,Public,120000.0,0,,Bay Area,,,12000,Academia/Research,Sr. Scientist,7,Masters or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-17,,,,50-200,Public,80000.0,0,,Cambridge,,,2400,Pharmaceutical (including “big pharma”),Research associate II,0,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-17,,,,5000+,Public,84500.0,0,,Greater Boston,,,5000,Pharmaceutical (including “big pharma”),Scientist,8,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-17,,,,1000-5000,Public,150000.0,0,,Boston,,,27000,Pharmaceutical (including “big pharma”),Sr scientist,3,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-18,,,,1000-5000,Public,138000.0,0,,Georgia,,,20000,Pharmaceutical (including “big pharma”),Regulatory Affairs,8,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-19,,,,200-1000,Private,44200.0,0,,Munich,,,Not Applicable/None,Hematology,Technical assistant,0,Associate’s Degree or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
Pfizer ,,,2022-05-19,,,,5000+,Public,93500.0,0,,Boston,,,7500,Pharmaceutical (including “big pharma”),Scientist ,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
LanzaTech,,,2022-05-20,,,,200-1000,Private,115000.0,10000,,Chicago,,,11500,Industrial Fermentation (CO2 gas fermentation),Scientist,1,PhD or Equivalent,"","","","","","","","","","","",2022,Chicago,20,2484.5
,,,2022-05-20,,,,5000+,Private,125000.0,0,,San Diego,,,18500,Pharmaceutical (including “big pharma”),Principal Scientist I,2,PhD or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
Catalent ,,,2022-05-21,,,,5000+,Public,62500.0,0,,"Gaithersburg, Maryland",,,Not Applicable/None,Pharmaceutical (including “big pharma”),Manufacturing Associate 1,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-21,,,,1000-5000,Private,84000.0,4000,,"Baltimore, MD",,,Not Applicable/None,Academia/Research,Biosignals Engineer,1,Masters or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-21,,,,50-200,Start-up,101000.0,10000,,Bay Area,,,7000,Pharmaceutical (including “big pharma”),Senior Research Associate ,4,Masters or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-23,,,,200-1000,Public,103000.0,5000,,San Diego,,,10300,Medical Devices,Clinical Scientist ,2,M.D./PharmD/D.D.S. or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-23,,,,200-1000,Public,180000.0,0,,Boston,,,36000,Pharmaceutical (including “big pharma”),"Associate Director, Commercial",5,PhD or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-24,,,,1-50,Start-up,95000.0,0,,Bay Area,,,Not Applicable/None,Biotech ,Senior Researcher ,0,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Ultragenyx ,,,2022-05-24,,,,200-1000,Public,80000.0,0,,Boston,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research associate I,0,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-24,,,,50-200,Private,75000.0,0,,San Diego,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Research Associate I,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-25,,,,50-200,Start-up,120000.0,7000,,San Diego,,,12000,Pharmaceutical (including “big pharma”),Scientist I,0,PhD or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-25,,,,5000+,Public,136000.0,0,,New Jersey,,,21000,Pharmaceutical (including “big pharma”),Associate principal scientist ,6,PhD or Equivalent,"","","","","","","","","","","",2022,New Jersey,21,2464.0
,,,2022-05-25,,,,50-200,Public,102000.0,6000,,Bay Area,,,8160,Pharmaceutical (including “big pharma”),Senior Research Associate I,4,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-26,,,,50-200,Start-up,170000.0,0,,Bay Area,,,29750,Pharmaceutical (including “big pharma”),Sr. Scientist 2,7,PhD or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-26,,,,200-1000,Public,59500.0,0,,Seattle WA,,,"2,000",Life Science tools,Manufacturing Research Associate I I,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,Seattle,56,2316.5
,,,2022-05-26,,,,1000-5000,Public,105000.0,20000,,Boston,,,12%,Pharmaceutical (including “big pharma”),QA Analyst,2,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
Roche,,,2022-05-26,,,,5000+,Public,93000.0,0,,San Francisco,,,4600,Pharmaceutical (including “big pharma”),System support engineer,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
Pfizer ,,,2022-05-27,,,,5000+,Public,94000.0,0,,Cambridge Massachusetts,,,7000,Pharmaceutical (including “big pharma”),Scientist ,6,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-28,,,,5000+,Public,49400.0,0,,Houston,,,Not Applicable/None,Pharmaceutical (including “big pharma”),Core Technician,0,Masters or Equivalent,"","","","","","","","","","","",2022,Houston,14,2517.5
,,,2022-05-28,,,,1-50,Start-up,63500.0,0,,South San Francisco,,,Not Applicable/None,Academia/Research,Research associate ,1,Bachelors or Equivalent,"","","","","","","","","","","",2022,Bay Area,251,1921.0
,,,2022-05-28,,,,1-50,Private,143000.0,5000,,Boston MA,,,"20,000",Pharmaceutical (including “big pharma”),Senior Scientist,19,Masters or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
,,,2022-05-28,,,,50-200,Start-up,120000.0,0,,Raleigh,,,12000,Pharmaceutical (including “big pharma”),Sr Scientist,3,PhD or Equivalent,"","","","","","","","","","","",2022,,1410,705.5
,,,2022-05-30,,,,5000+,Public,145000.0,0,,San Diego,,,25000,Pharmaceutical (including “big pharma”),Sr. Scientist,7,PhD or Equivalent,"","","","","","","","","","","",2022,San Diego,116,2104.5
,,,2022-05-30,,,,1000-5000,Public,7550.0,0,,Boston,,,5000,Pharmaceutical (including “big pharma”),Manufacturing associate II,3,Bachelors or Equivalent,"","","","","","","","","","","",2022,Boston/Cambridge,385,1603.0
